http://terminology.hl7.org/CodeSystem/v2-0203,2.16.840.1.113883.18.108,IdentifierType
﻿Code,Display,Definition,V2 Concept Comment,V2 Concept Comment As Published,HL7 Concept Usage Notes
AC,Accreditation/Certification Identifier,"Identifier that has been assigned by an accreditation or certification organization in specific fields, indicating a recognized skill","In Ask at Order Entry (AOE) questions this can be used to identify the ID with the assigning authority. For instance, a credentialed sonographer whose identifier assigned by the credentialing body has been entered can be properly labeled.",,
ACSN,Accession ID,Accession Identifier,,Accession Identifier,
AIN,Animal Identification Number (US Official),A numbering system for the official identification of individual animals in the United States that provides a nationally unique identification number for each animal. The first two numbers on a tag are the numbers assigned to a specific State.,AIN is the official acronym used by USDA,,
AM,American Express,American Express,Deprecated and replaced by BC in v 2.5.,Deprecated and replaced by BC in v 2.5.,
AMA,American Medical Association Number,A physician identifier assigned by the AMA.,,A physician identifier assigned by the AMA.,
AN,Account number,Account An identifier that is unique to an account.,,An identifier that is unique to an account.,
ANC,Account number Creditor,A more precise definition of an account number,"Class: Financial<p>Sometimes two distinct account numbers must be transmitted in the same message, one as the creditor, the other as the debitor.<p>Kreditorenkontonummer","Class: Financial<p>A more precise definition of an account number: sometimes two distinct account numbers must be transmitted in the same message, one as the creditor, the other as the debitor.<p>Kreditorenkontonummer",
AND,Account number debitor,A more precise definition of an account number,"Class: Financial<p>Sometimes two distinct account numbers must be transmitted in the same message, one as the creditor, the other as the debitor.<p>Debitorenkontonummer","Class: Financial<p>A more precise definition of an account number: sometimes two distinct account numbers must be transmitted in the same message, one as the creditor, the other as the debitor.<p>Debitorenkontonummer",
ANON,Anonymous identifier,An identifier for a living subject whose real identity is protected or suppressed,"Justification: For public health reporting purposes, anonymous identifiers are occasionally used for protecting patient identity in reporting certain results. For instance, a state health department may choose to use a scheme for generating an anonymous identifier for reporting a patient that has had a positive human immunodeficiency virus antibody test. Anonymous identifiers can be used in PID 3 by replacing the medical record number or other non-anonymous identifier. The assigning authority for an anonymous identifier would be the state/local health department.","An identifier for a living subject whose real identity is protected or suppressed Justification: For public health reporting purposes, anonymous identifiers are occasionally used for protecting patient identity in reporting certain results. For instance, a state health department may choose to use a scheme for generating an anonymous identifier for reporting a patient that has had a positive human immunodeficiency virus antibody test. Anonymous identifiers can be used in PID 3 by replacing the medical record number or other non-anonymous identifier. The assigning authority for an anonymous identifier would be the state/local health department.",
ANT,Temporary Account Number,Temporary version of an Account Number,Class: Financial Use Case: An ancillary system that does not normally assign account numbers is the first time to register a patient. This ancillary system will generate a temporary account number that will only be used until an official account number is assigned.,Class: Financial Temporary version of an Account Number. Use Case: An ancillary system that does not normally assign account numbers is the first time to register a patient. This ancillary system will generate a temporary account number that will only be used until an official account number is assigned.,
APRN,Advanced Practice Registered Nurse number,An identifier that is unique to an advanced practice registered nurse within the jurisdiction of a certifying board,,An identifier that is unique to an advanced practice registered nurse within the jurisdiction of a certifying board,
ASID,Ancestor Specimen ID,A unique identifier for the ancestor specimen.,"All child, grandchild, etc. specimens of the ancestor specimen share the same Ancestor Specimen ID.","A unique identifier for the ancestor specimen. All child, grandchild, etc. specimens of the ancestor specimen share the same Ancestor Specimen ID.",
BA,Bank Account Number,Bank Account Number,Class: Financial,Class: Financial,
BC,Bank Card Number,An identifier that is unique to a person's bank card,"Class: Financial<p>Replaces AM, DI, DS, MS, and VS beginning in v 2.5.","Class: Financial<p>An identifier that is unique to a person's bank card. Replaces AM, DI, DS, MS, and VS beginning in v 2.5.",
BCFN,Birth Certificate File Number,The identifier used within the jurisdictional vital records office file system as an auxiliary means of accessing the record associated with the birth certificate.,,,
BCT,Birth Certificate,A number associated with a document identifying the event of a person's birth,,A number associated with a document identifying the event of a person's birth.,
BR,Birth registry number,An identifier unique within the Assigning Authority that is the official legal record of a person's birth.,,An identifier unique within the Assigning Authority that is the official legal record of a person's birth.,
BRN,Breed Registry Number,Breed Registry Number,,,
BSNR,Primary physician office number,Primary physician office number,Betriebsstättennummer - for use in the German realm.,Betriebsstättennummer - for use in the German realm.,
CAAI,Consumer Application Account Identifier,"An identifier for the consumer (e.g., patient, caregiver) for an application such as a portal or App.","This may be the same as a username, but frequently is different.",,
CC,Cost Center number,Cost Center number,Class: Financial<p>Use Case: needed especially for transmitting information about invoices.,Class: Financial<p>Use Case: needed especially for transmitting information about invoices.,
CONM,Change of Name Document,A number associated with a document identifying a person's legal change of name.,,A number associated with a document identifying a person's legal change of name.,
CY,County number,County number,,,
CZ,Citizenship Card,A number assigned by a person's country of residence to identify a person's citizenship.,,A number assigned by a person's country of residence to identify a person's citizenship.,
DC,Death Certificate ID,"The identifier assigned to a death certificate, and printed on the death certificate when issued by a jurisdictional vital records office",,,
DCFN,Death Certificate File Number,The identifier used within the jurisdictional vital records office file system as an auxiliary means of accessing the record associated with the death certificate.,,,
DDS,Dentist license number,An identifier that is unique to a dentist within the jurisdiction of the licensing board,,An identifier that is unique to a dentist within the jurisdiction of the licensing board,
DEA,Drug Enforcement Administration registration number,An identifier for an individual or organization relative to controlled substance regulation and transactions.,"Use case: This is a registration number that identifies an individual or organization relative to controlled substance regulation and transactions. A DEA number has a very precise and widely accepted meaning within the United States. Surprisingly, the US Drug Enforcement Administration does not solely assign DEA numbers in the United States. Hospitals have the authority to issue DEA numbers to their medical residents. These DEA numbers are based upon the hospital’s DEA number, but the authority rests with the hospital on the assignment to the residents. Thus, DEA as an Identifier Type is necessary in addition to DEA as an Assigning Authority.","An identifier for an individual or organization relative to controlled substance regulation and transactions. Use case: This is a registration number that identifies an individual or organization relative to controlled substance regulation and transactions. A DEA number has a very precise and widely accepted meaning within the United States. Surprisingly, the US Drug Enforcement Administration does not solely assign DEA numbers in the United States. Hospitals have the authority to issue DEA numbers to their medical residents. These DEA numbers are based upon the hospital’s DEA number, but the authority rests with the hospital on the assignment to the residents. Thus, DEA as an Identifier Type is necessary in addition to DEA as an Assigning Authority.",
DFN,Drug Furnishing or prescriptive authority Number,An identifier issued to a health care provider authorizing the person to write drug orders,Use Case: A nurse practitioner has authorization to furnish or prescribe pharmaceutical substances; this identifier is in component 1.,An identifier issued to a health care provider authorizing the person to write drug orders<p>Use Case: A nurse practitioner has authorization to furnish or prescribe pharmaceutical substances; this identifier is in component 1.,
