HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
RE,Observations/Performed Service to follow,HL70119,,,,completed,,Completed,http://hl7.org/fhir/request-status,,
CN,Combined Result,HL70119,,,,completed,,Completed,http://hl7.org/fhir/request-status,,
OE,Order/service released,HL70119,,,,completed,,Completed,http://hl7.org/fhir/request-status,,
OF,Order/service refilled as requested,HL70119,,,,completed,,Completed,http://hl7.org/fhir/request-status,,
OR,Released as requested,HL70119,,,,completed,,Completed,http://hl7.org/fhir/request-status,,
AF,Order/service refill request approval,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
CH,Child order/service,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
FU,Order/service refilled unsolicited,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
NW,New order/service,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
OK,Order/service accepted & OK,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
PA,Parent order/service,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
PR,Previous Results with new order/service,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
RL,Release previous hold,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
RO,Replacement order,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
RP,Order/service replace request,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
RQ,Replaced as requested,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
RR,Request received,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
RU,Replaced unsolicited,,HL70119,,,,active,,Active,http://hl7.org/fhir/request-status,,
CA,Cancel order/service request,HL70119,,,,revoked,,Revoked,http://hl7.org/fhir/request-status,,
CR,Canceled as requested,HL70119,,,,revoked,,Revoked,http://hl7.org/fhir/request-status,,
DC,Discontinue order/service request,HL70119,,,,revoked,,Revoked,http://hl7.org/fhir/request-status,,
DF,Order/service refill request denied,HL70119,,,,revoked,,Revoked,http://hl7.org/fhir/request-status,,
DR,Discontinued as requested,HL70119,,,,revoked,,Revoked,http://hl7.org/fhir/request-status,,
OC,Order/service canceled,HL70119,,,,revoked,,Revoked,http://hl7.org/fhir/request-status,,
OD,Order/service discontinued,HL70119,,,,revoked,,Revoked,http://hl7.org/fhir/request-status,,
UA,Unable to accept order/service,HL70119,,,,revoked,,Revoked,http://hl7.org/fhir/request-status,,
DE,Data errors,HL70119,,,,entered-in-error,,Entered in Error,http://hl7.org/fhir/request-status,,
HD,Hold order request,HL70119,,,,on-hold,,"On Hold",http://hl7.org/fhir/request-status,,
HR,On hold as requested,HL70119,,,,on-hold,,"On Hold",http://hl7.org/fhir/request-status,,
OH,Order/service held,HL70119,,,,on-hold,,"On Hold",http://hl7.org/fhir/request-status,,
LI,Link order/service to patient care problem or goal,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
NA,Number assigned,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
OP,Notification of order for outside dispense,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
PY,Notification of replacement order for outside dispense,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
RF,Refill order/service request,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
RL,Release previous hold,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
RO,Replacement order,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
RP,Order/service replace request,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
RQ,Replaced as requested,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
RR,Request received,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
RU,Replaced unsolicited,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
SC,Status changed,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
SN,Send order/service number,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
SR,Response to send order/service status request,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
SS,Send order/service status request,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
UC,Unable to cancel,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
UD,Unable to discontinue,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
UF,Unable to refill,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
UH,Unable to put on hold,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
UM,Unable to replace,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
UN,Unlink order/service from patient care problem or goal,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
UR,Unable to release,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
UX,Unable to change,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
XO,Change order/service request,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
XR,Changed as requested,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
XX,Order/service changed unsol,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
*,,,HL70119,,,,unknown,,"Unknown",http://hl7.org/fhir/request-status,,
