Description,Item#,Seg,Seq#,Len,DT,Rep,Table,Chapter
Discharge Care Provider ,01514,ABS,1,250,XCN,,0010,6.5.12.1
Transfer Medical Service Code ,01515,ABS,2,250,CE,,0069,6.5.12.2
Severity of Illness Code ,01516,ABS,3,250,CE,,0421,6.5.12.3
Date/Time of Attestation ,01517,ABS,4,26,TS,,,6.5.12.4
Attested By ,01518,ABS,5,250,XCN,,,6.5.12.5
Triage Code ,01519,ABS,6,250,CE,,0422,6.5.12.6
Abstract Completion Date/Time ,01520,ABS,7,26,TS,,,6.5.12.7
Abstracted By ,01521,ABS,8,250,XCN,,,6.5.12.8
Case Category Code ,01522,ABS,9,250,CE,,0423,6.5.12.9
Caesarian Section Indicator ,01523,ABS,10,1,ID,,0136,6.5.12.10
Gestation Category Code ,01524,ABS,11,250,CE,,0424,6.5.12.11
Gestation Period - Weeks ,01525,ABS,12,3,NM,,,6.5.12.12
Newborn Code ,01526,ABS,13,250,CE,,0425,6.5.12.13
Stillborn Indicator ,01527,ABS,14,1,ID,,0136,6.5.12.14
Accident Date/Time ,00527,ACC,1,26,TS,,,6.5.9.1
Accident Code ,00528,ACC,2,250,CE,,0050,6.5.9.2
Accident Location ,00529,ACC,3,25,ST,,,6.5.9.3
Auto Accident State ,00812,ACC,4,250,CE,,0347,6.5.9.4
Accident Job Related Indicator ,00813,ACC,5,1,ID,,0136,6.5.9.5
Accident Death Indicator ,00814,ACC,6,12,ID,,0136,6.5.9.6
Entered By ,00224,ACC,7,250,XCN,,,6.5.9.7
Accident Description ,01503,ACC,8,25,ST,,,6.5.9.8
Brought In By ,01504,ACC,9,80,ST,,,6.5.9.9
Police Notified Indicator ,01505,ACC,10,1,ID,,0136,6.5.9.10
Accident Address ,01853,ACC,11,250,XAD,,,6.5.9.11
Addendum Continuation Pointer ,00066,ADD,1,65536,ST,,,2.15.1.1
Set ID - AFF ,01427,AFF,1,60,SI,,,15.4.1.1
Professional Organization ,01444,AFF,2,250,XON,,,15.4.1.2
Professional Organization Address ,01445,AFF,3,250,XAD,,,15.4.1.3
Professional Organization Affiliation Date Range,01446,AFF,4,52,DR,Y,,15.4.1.4
Professional Affiliation Additional Information,01447,AFF,5,60,ST,,,15.4.1.5
Set ID - AIG ,00896,AIG,1,4,SI,,,10.6.5.1
Segment Action Code ,00763,AIG,2,3,ID,,0206,10.6.5.2
Resource ID ,00897,AIG,3,250,CE,,,10.6.5.3
Resource Type ,00898,AIG,4,250,CE,,,10.6.5.4
Resource Group ,00899,AIG,5,250,CE,Y,,10.6.5.5
Resource Quantity ,00900,AIG,6,5,NM,,,10.6.5.6
Resource Quantity Units ,00901,AIG,7,250,CE,,,10.6.5.7
Start Date/Time ,01202,AIG,8,26,TS,,,10.6.5.8
Start Date/Time Offset ,00891,AIG,9,20,NM,,,10.6.5.9
Start Date/Time Offset Units ,00892,AIG,10,250,CE,,,10.6.5.10
Duration ,00893,AIG,11,20,NM,,,10.6.5.11
Duration Units ,00894,AIG,12,250,CE,,,10.6.5.12
Allow Substitution Code ,00895,AIG,13,10,IS,,0279,10.6.5.13
Filler Status Code ,00889,AIG,14,250,CE,,0278,10.6.5.14
Set ID - AIL ,00902,AIL,1,4,SI,,,10.6.6.1
Segment Action Code ,00763,AIL,2,3,ID,,0206,10.6.6.2
Location Resource ID ,00903,AIL,3,80,PL,Y,,10.6.6.3
Location Type-AIL ,00904,AIL,4,250,CE,,0305,10.6.6.4
Location Group ,00905,AIL,5,250,CE,,,10.6.6.5
Start Date/Time ,01202,AIL,6,26,TS,,,10.6.6.6
Start Date/Time Offset ,00891,AIL,7,20,NM,,,10.6.6.7
Start Date/Time Offset Units ,00892,AIL,8,250,CE,,,10.6.6.8
Duration ,00893,AIL,9,20,NM,,,10.6.6.9
Duration Units ,00894,AIL,10,250,CE,,,10.6.6.10
Allow Substitution Code ,00895,AIL,11,10,IS,,0279,10.6.6.11
Filler Status Code ,00889,AIL,12,250,CE,,0278,10.6.6.12
Set ID - AIP ,00906,AIP,1,4,SI,,,10.6.7.1
Segment Action Code ,00763,AIP,2,3,ID,,0206,10.6.7.2
Personnel Resource ID ,00913,AIP,3,250,XCN,Y,,10.6.7.3
Resource Type ,00907,AIP,4,250,CE,,0182,10.6.7.4
Resource Group ,00899,AIP,5,250,CE,,,10.6.7.5
Start Date/Time ,01202,AIP,6,26,TS,,,10.6.7.6
Start Date/Time Offset ,00891,AIP,7,20,NM,,,10.6.7.7
Start Date/Time Offset Units ,00892,AIP,8,250,CE,,,10.6.7.8
Duration ,00893,AIP,9,20,NM,,,10.6.7.9
Duration Units ,00894,AIP,10,250,CE,,,10.6.7.10
Allow Substitution Code ,00895,AIP,11,10,IS,,0279,10.6.7.11
Filler Status Code ,00889,AIP,12,250,CE,,0278,10.6.7.12
Set ID - AIS ,00890,AIS,1,4,SI,,,10.6.4.1
Segment Action Code ,00763,AIS,2,3,ID,,0206,10.6.4.2
Universal Service Identifier ,00238,AIS,3,250,CE,,,10.6.4.3
Start Date/Time ,01202,AIS,4,26,TS,,,10.6.4.4
Start Date/Time Offset ,00891,AIS,5,20,NM,,,10.6.4.5
Start Date/Time Offset Units ,00892,AIS,6,250,CE,,,10.6.4.6
Duration ,00893,AIS,7,20,NM,,,10.6.4.7
Duration Units ,00894,AIS,8,250,CE,,,10.6.4.8
Allow Substitution Code ,00895,AIS,9,10,IS,,0279,10.6.4.9
Filler Status Code ,00889,AIS,10,250,CE,,0278,10.6.4.10
Placer Supplemental Service Information ,01474,AIS,11,250,CE,Y,0411,10.6.4.11
Filler Supplemental Service Information ,01475,AIS,12,250,CE,Y,0411,10.6.4.12
Set ID - AL1 ,00203,AL1,1,4,SI,,,3.4.6.1
Allergen Type Code ,00204,AL1,2,250,CE,,0127,3.4.6.2
Allergen Code/Mnemonic/Description ,00205,AL1,3,250,CE,,,3.4.6.3
Allergy Severity Code ,00206,AL1,4,250,CE,,0128,3.4.6.4
Allergy Reaction Code ,00207,AL1,5,15,ST,Y,,3.4.6.5
Identification Date ,00208,AL1,6,8,DT,,,3.4.6.6
Time Selection Criteria ,00908,APR,1,80,SCV,Y,0294,10.6.8.1
Resource Selection Criteria ,00909,APR,2,80,SCV,Y,0294,10.6.8.2
Location Selection Criteria ,00910,APR,3,80,SCV,Y,0294,10.6.8.3
Slot Spacing Criteria ,00911,APR,4,5,NM,,,10.6.8.4
Filler Override Criteria ,00912,APR,5,80,SCV,Y,,10.6.8.5
Placer Appointment ID ,00860,ARQ,1,75,EI,,,10.6.1.1
Filler Appointment ID ,00861,ARQ,2,75,EI,,,10.6.1.2
Occurrence Number ,00862,ARQ,3,5,NM,,,10.6.1.3
Placer Group Number ,00218,ARQ,4,22,EI,,,10.6.1.4
Schedule ID ,00864,ARQ,5,250,CE,,,10.6.1.5
Request Event Reason ,00865,ARQ,6,250,CE,,,10.6.1.6
Appointment Reason ,00866,ARQ,7,250,CE,,0276,10.6.1.7
Appointment Type ,00867,ARQ,8,250,CE,,0277,10.6.1.8
Appointment Duration ,00868,ARQ,9,20,NM,,,10.6.1.9
Appointment Duration Units ,00869,ARQ,10,250,CE,,,10.6.1.10
Requested Start Date/Time Range ,00870,ARQ,11,53,DR,Y,,10.6.1.11
Priority-ARQ ,00871,ARQ,12,5,ST,,,10.6.1.12
Repeating Interval ,00872,ARQ,13,100,RI,,,10.6.1.13
Repeating Interval Duration ,00873,ARQ,14,5,ST,,,10.6.1.14
